Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
KMPB,Kemper Corporation 5.875% Fixed-Rate Reset Junior Subordinated Debentures due 2062,$23.3999,0.0499,0.214%,1369990669.00,United States,2022,6667,Finance,Property-Casualty Insurers
KMPR,Kemper Corporation,$39.46,0.12,0.305%,2310259096.00,United States,,590758,Finance,Property-Casualty Insurers
KMT,Kennametal Inc. Common Stock,$27.85,-0.08,-0.286%,2119193838.00,United States,,452628,Industrials,Industrial Machinery/Components
KMX,CarMax Inc,$38.82,-0.08,-0.206%,5700524569.00,United States,,3233946,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
KN,Knowles Corporation Common Stock,$23.37,-0.04,-0.171%,1989999529.00,United States,2014,757903,Consumer Staples,Consumer Electronics/Appliances
KNF,Knife Riv Holding Co. Common Stock,$74.64,0.59,0.797%,4229413276.00,United States,2023,362149,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
KNOP,KNOT Offshore Partners LP Common Units representing Limited Partner Interests,$10.72,0.62,6.139%,364963268.00,United Kingdom,2013,316948,Consumer Discretionary,Marine Transportation
KNSL,Kinsale Capital Group Inc. Common Stock,$356.53,-4.73,-1.309%,8294109272.00,United States,,257066,Finance,Property-Casualty Insurers
KNTK,Kinetik Holdings Inc. Class A Common Stock,$36.89,-0.11,-0.297%,5960872347.00,United States,2022,800687,Utilities,Natural Gas Distribution
KNX,Knight-Swift Transportation Holdings Inc.,$51.30,0.37,0.726%,8327990700.00,United States,2017,2965905,Industrials,Trucking Freight/Courier Services
KO,Coca-Cola Company (The) Common Stock,$70.00,-0.45,-0.639%,301112619150.00,United States,,13974186,Consumer Staples,Beverages (Production/Distribution)
KODK,Eastman Kodak Company Common New,$8.79,0.31,3.656%,847356000.00,United States,,3006612,Consumer Discretionary,Industrial Machinery/Components
KOF,Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares),$90.52,-0.72,-0.789%,19016733618.00,Mexico,1993,147817,Consumer Staples,Beverages (Production/Distribution)
KOP,Koppers Holdings Inc. Common Stock,$28.01,-0.04,-0.143%,549386067.00,United States,2006,106218,Basic Materials,Forest Products
KORE,KORE Group Holdings Inc. Common Stock,$4.24,0.12,2.913%,74369333.00,United States,,54323,Telecommunications,Telecommunications Equipment
KOS,Kosmos Energy Ltd. Common Shares (DE),$1.15,0.08,7.477%,550075997.00,Bermuda,2011,22905348,Energy,Oil & Gas Production
KR,Kroger Company (The) Common Stock,$62.71,-0.43,-0.681%,41556550675.00,United States,,8880605,Consumer Staples,Food Chains
KRC,Kilroy Realty Corporation Common Stock,$40.78,0.04,0.098%,4824506528.00,United States,1997,1672761,Real Estate,Real Estate Investment Trusts
KREF,KKR Real Estate Finance Trust Inc. Common Stock,$8.57,0.13,1.54%,561237988.00,United States,2017,1226579,Real Estate,Real Estate Investment Trusts
KREF^A,KKR Real Estate Finance Trust Inc. 6.50% Series A Cumulative Redeemable Preferred Stock,$18.13,0.05,0.277%,,United States,,124294,,
KRG,Kite Realty Group Trust Common Stock,$22.64,0.02,0.088%,4901695229.00,United States,2004,1771861,Real Estate,Real Estate Investment Trusts
KRMN,Karman Holdings Inc. Common Stock,$65.45,-1.03,-1.549%,8660503371.00,United States,2025,1027361,Industrials,Military/Government/Technical
KRO,Kronos Worldwide Inc Common Stock,$4.73,-0.05,-1.046%,544201239.00,United States,,195000,Basic Materials,Major Chemicals
KRP,Kimbell Royalty Partners Common Units Representing Limited Partner Interests,$12.83,0.10,0.786%,1384203399.00,United States,2017,536978,Energy,Oil & Gas Production
KRSP,Rice Acquisition Corporation 3 Class A Ordinary Shares,$10.3619,-0.1381,-1.315%,0.00,,2025,2917,,
KSS,Kohl's Corporation Common Stock,$23.05,0.47,2.081%,2585960853.00,United States,1992,5497700,Consumer Discretionary,Department/Specialty Retail Stores
KT,KT Corporation Common Stock,$18.56,0.00,0.00%,9125318956.00,South Korea,,1471048,Telecommunications,Telecommunications Equipment
KTB,Kontoor Brands Inc. Common Stock ,$76.20,0.68,0.90%,4236233234.00,United States,2019,470710,Industrials,Garments and Clothing
KTF,DWS Municipal Income Trust,$9.23,0.038,0.413%,364593658.00,United States,1988,103953,Finance,Finance Companies
KTH,Structures Products Cp 8% CorTS Issued by Peco Energy Cap Tr II Preferred Stock,$28.60,0.00,0.00%,0.00,United States,,189,Finance,Finance: Consumer Services
KTN,Structured Products Corp 8.205% CorTS 8.205% Corporate Backed Trust Securities (CorTS),$26.60,0.09,0.339%,0.00,United States,,1015,Finance,Finance: Consumer Services
KVUE,Kenvue Inc. Common Stock,$16.93,-0.06,-0.353%,32434530738.00,United States,2023,21147433,Consumer Discretionary,Specialty Chemicals
KVYO,Klaviyo Inc. Series A Common Stock,$29.49,-0.49,-1.634%,8904366307.00,United States,2023,1934365,Technology,Computer Software: Prepackaged Software
KW,Kennedy-Wilson Holdings Inc. Common Stock,$9.70,0.01,0.103%,1337672622.00,United States,,803039,Finance,Real Estate
KWR,Quaker Houghton Common Stock,$134.64,-0.93,-0.686%,2334662312.00,United States,,117618,Industrials,Major Chemicals
KYN,Kayne Anderson Energy Infrastructure Fund Inc.,$12.48,0.01,0.08%,1698921494.00,United States,2004,424981,Finance,Finance/Investors Services
L,Loews Corporation Common Stock,$102.82,-1.67,-1.598%,21248736679.00,United States,,870517,Finance,Property-Casualty Insurers
LAC,Lithium Americas Corp. Common Shares,$5.33,-0.11,-2.022%,1617592575.00,Canada,2023,12173297,Basic Materials,Metal Mining
LAD,Lithia Motors Inc. Common Stock,$328.39,3.38,1.04%,7963467352.00,United States,,237299,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
LADR,Ladder Capital Corp Class A Common Stock,$10.87,-0.08,-0.731%,1383983509.00,United States,2014,631865,Real Estate,Real Estate Investment Trusts
LANV,Lanvin Group Holdings Limited Ordinary Shares,$2.08,0.02,0.971%,290733672.00,Cayman Islands,2022,51034,Consumer Discretionary,Apparel
LAR,Lithium Argentina AG Common Shares,$5.14,-0.09,-1.721%,834222000.00,Canada,2023,1647848,Basic Materials,Metal Mining
LAW,CS Disco Inc. Common Stock,$7.46,0.17,2.332%,466187291.00,United States,2021,140240,Technology,Computer Software: Prepackaged Software
LAZ,Lazard Inc. Common Stock,$54.75,1.28,2.394%,6172876679.00,Bermuda,2005,1101383,Finance,Investment Managers
LB,LandBridge Company LLC Class A Shares Representing Limited Liability Company Interests,$59.58,0.23,0.388%,4592969472.00,,2024,210679,Energy,Oil & Gas Production
LBRT,Liberty Energy Inc. Class A common stock,$19.50,-0.17,-0.864%,3158355564.00,United States,2018,2678306,Energy,Oilfield Services/Equipment
LC,LendingClub Corporation Common Stock,$19.43,-0.10,-0.512%,2240306979.00,United States,2014,1640319,Finance,Finance: Consumer Services
LCII,LCI Industries,$114.66,-0.34,-0.296%,2774543827.00,United States,1995,290619,Consumer Discretionary,Auto Parts:O.E.M.
LDI,loanDepot Inc. Class A Common Stock,$2.73,-0.03,-1.087%,909734073.00,United States,2021,1942075,Finance,Finance: Consumer Services
LDOS,Leidos Holdings Inc. Common Stock,$186.82,-5.60,-2.91%,23885903233.00,United States,,917161,Technology,EDP Services
LDP,Cohen & Steers Limited Duration Preferred and Income Fund Inc.,$21.37,0.02,0.094%,0.00,United States,2012,53669,Finance,Finance Companies
LEA,Lear Corporation Common Stock,$107.78,-1.16,-1.065%,5590567030.00,United States,,473173,Consumer Discretionary,Auto Parts:O.E.M.
LEG,Leggett & Platt Incorporated Common Stock,$11.17,-0.23,-2.018%,1512823270.00,United States,,1921050,Consumer Discretionary,Home Furnishings
LEN,Lennar Corporation Class A Common Stock,$123.91,-2.84,-2.241%,31599595483.00,United States,,6242184,Consumer Discretionary,Homebuilding
LEO,BNY Mellon Strategic Municipals Inc. Common Stock,$6.31,0.01,0.159%,393055289.00,United States,1987,315383,Finance,Trusts Except Educational Religious and Charitable
LEU,Centrus Energy Corp. Class A Common Stock,$266.23,-12.40,-4.45%,4848589279.00,United States,2014,1087996,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LEVI,Levi Strauss & Co Class A Common Stock,$22.27,0.08,0.361%,8703774212.00,United States,2019,1675728,Consumer Discretionary,Apparel
LFT,Lument Finance Trust Inc. Common Stock,$1.49,-0.01,-0.667%,78023746.00,United States,2013,158548,Real Estate,Real Estate Investment Trusts
LFT^A,Lument Finance Trust Inc. 7.875% Series A Cumulative Redeemable Preferred Stock,$21.30,0.48,2.305%,,United States,,2123,,
LGI,Lazard Global Total Return and Income Fund Common Stock,$17.74,0.12,0.681%,0.00,United States,2004,44959,,
LH,Labcorp Holdings Inc. Common Stock,$258.39,-3.09,-1.182%,21420531000.00,United States,,679398,Health Care,Medical Specialities
LHX,L3Harris Technologies Inc. Common Stock,$278.50,-2.01,-0.717%,52094217890.00,United States,,710606,Industrials,Industrial Machinery/Components
LII,Lennox International Inc. Common Stock,$511.63,6.90,1.367%,17944287455.00,United States,1999,370878,Industrials,Industrial Machinery/Components
LION,Lionsgate Studios Corp Common Shares,$7.04,-0.06,-0.845%,2039694371.00,,2025,3861336,Consumer Discretionary,Movies/Entertainment
LITB,LightInTheBox Holding Co. Ltd. American Depositary Shares each representing twelve ordinary shares,$1.89,-0.08,-4.061%,208531982.00,China,,20912,Consumer Discretionary,Catalog/Specialty Distribution
LLY,Eli Lilly and Company Common Stock,$1010.31,-4.18,-0.412%,955130663535.00,United States,,2495226,Health Care,Biotechnology: Pharmaceutical Preparations
LMND,Lemonade Inc. Common Stock,$78.97,2.17,2.826%,5901509202.00,United States,2020,2823026,Finance,Property-Casualty Insurers
LMT,Lockheed Martin Corporation Common Stock,$452.20,3.85,0.859%,104638083351.00,United States,,1290450,Industrials,Military/Government/Technical
LNC,Lincoln National Corporation Common Stock,$42.74,0.20,0.47%,8117994997.00,United States,,1636782,Finance,Life Insurance
LNC^D,Lincoln National Corporation Depositary Shares Each Representing a 1/1000th Interest in a Share of 9.000% Non-Cumulative Preferred Stock Series D,$26.71,-0.02,-0.075%,,United States,,61170,,
LND,Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil),$3.75,0.04,1.078%,385062915.00,Brazil,,60049,Consumer Staples,Farming/Seeds/Milling
LNG,Cheniere Energy Inc. Common Stock,$205.69,-2.21,-1.063%,44271641075.00,United States,2001,2279200,Utilities,Oil/Gas Transmission
LNN,Lindsay Corporation Common Stock,$118.88,0.91,0.771%,1284405674.00,United States,,109450,Industrials,Industrial Machinery/Components
LOAR,Loar Holdings Inc. Common Stock,$67.25,-0.57,-0.84%,6296111175.00,United States,2024,558936,Industrials,Military/Government/Technical
LOB,Live Oak Bancshares Inc. Common Stock,$32.80,-0.03,-0.091%,1504129838.00,United States,2022,207272,Finance,Major Banks
LOB^A,Live Oak Bancshares Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 8.375% Fixed Rate Series A Non-Cumulative Perpetual Preferred Stock,$25.33,0.09,0.357%,,United States,,5327,,
LOCL,Local Bounti Corporation Common Stock,$2.53,0.18,7.66%,56345837.00,,2021,37302,Consumer Staples,Farming/Seeds/Milling
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS,$12.22,-0.10,-0.812%,1426032819.00,Argentina,2017,536910,Industrials,Building Materials
LOW,Lowe's Companies Inc. Common Stock,$248.47,2.30,0.934%,139379608521.00,United States,,2642045,Consumer Discretionary,RETAIL: Building Materials
LPG,Dorian LPG Ltd. Common Stock,$24.96,-0.06,-0.24%,1069239325.00,United States,2014,463161,Consumer Discretionary,Marine Transportation
LPL,LG Display Co Ltd AMERICAN DEPOSITORY SHARES,$4.54,0.10,2.252%,4540000000.00,South Korea,2004,257991,Technology,Industrial Machinery/Components
LPX,Louisiana-Pacific Corporation Common Stock,$84.21,2.02,2.458%,5864675851.00,United States,,987075,Basic Materials,Forest Products
LRN,Stride Inc. Common Stock,$62.68,1.66,2.72%,2749058740.00,United States,,1657760,Real Estate,Other Consumer Services
LSPD,Lightspeed Commerce Inc. Subordinate Voting Shares,$11.59,0.25,2.205%,1575995254.00,Canada,,469361,Technology,Computer Software: Prepackaged Software
LTC,LTC Properties Inc. Common Stock,$35.18,-0.25,-0.706%,1675067275.00,United States,,266450,Real Estate,Real Estate Investment Trusts
LTH,Life Time Group Holdings Inc. Common Stock,$26.71,0.14,0.527%,5889881877.00,United States,2021,1766591,Consumer Discretionary,Hotels/Resorts
LTM,LATAM Airlines Group S.A. American Depositary Shares (each representing two thousand (2000) shares of Common Stock),$50.83,-0.77,-1.492%,15361788669.00,Chile,2024,865852,Consumer Discretionary,Air Freight/Delivery Services
LU,Lufax Holding Ltd American Depositary Shares each representing two (2) Ordinary Shares,$2.62,0.07,2.745%,2270596800.00,China,,1312216,Finance,Finance: Consumer Services
LUCK,Lucky Strike Entertainment Corporation Class A Common Stock,$8.51,0.03,0.354%,1188307406.00,United States,2021,354787,Consumer Discretionary,Services-Misc. Amusement & Recreation
LUMN,Lumen Technologies Inc. Common Stock,$8.26,-0.52,-5.923%,8471817292.00,United States,,16066329,Telecommunications,Telecommunications Equipment
LUV,Southwest Airlines Company Common Stock,$37.85,2.04,5.697%,19574319778.00,United States,,15211057,Consumer Discretionary,Air Freight/Delivery Services
LUXE,LuxExperience B.V. American Depositary Shares each representing one Ordinary Share,$9.73,0.02,0.206%,1326921511.00,,2021,258720,Consumer Discretionary,Catalog/Specialty Distribution
LVS,Las Vegas Sands Corp. Common Stock,$66.25,-0.15,-0.226%,44793909764.00,United States,2004,4361783,Consumer Discretionary,Hotels/Resorts
LVWR,LiveWire Group Inc. Common Stock,$4.19,-0.29,-6.473%,854712804.00,United States,2022,87098,Consumer Discretionary,Motor Vehicles
LW,Lamb Weston Holdings Inc. Common Stock ,$59.70,-0.06,-0.10%,8319343056.00,United States,2016,981362,Consumer Staples,Packaged Foods
LXP,LXP Industrial Trust Common Stock (Maryland REIT),$48.64,-0.05,-0.103%,2877486221.00,United States,,459928,Real Estate,Real Estate Investment Trusts
LXP^C,LXP Industrial Trust 6.5% Series C Cumulative Convertible Preferred Stock,$46.85,-0.0499,-0.106%,,United States,,2267,,
LXU,LSB Industries Inc. Common Stock,$8.83,-0.28,-3.074%,635269926.00,United States,2003,338138,Basic Materials,Major Chemicals
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),$43.35,0.19,0.44%,13953192989.00,Netherlands,,6327152,Industrials,Major Chemicals
LYG,Lloyds Banking Group Plc American Depositary Shares,$5.13,-0.04,-0.774%,76031801379.00,United Kingdom,,7334542,Finance,Commercial Banks
LYV,Live Nation Entertainment Inc. Common Stock,$139.33,-0.35,-0.251%,32706497666.00,United States,,4793377,Consumer Discretionary,Services-Misc. Amusement & Recreation
LZB,La-Z-Boy Incorporated Common Stock,$38.63,-0.32,-0.822%,1593447711.00,United States,,422500,Consumer Discretionary,Home Furnishings
LZM,Lifezone Metals Limited Ordinary Shares,$3.90,-0.07,-1.763%,315293831.00,Isle of Man,,109853,Basic Materials,Metal Mining
M,Macy's Inc Common Stock,$22.85,0.53,2.375%,6135356410.00,United States,,9601605,Consumer Discretionary,Department/Specialty Retail Stores
MA,Mastercard Incorporated Common Stock,$545.52,3.21,0.592%,489874695001.00,United States,2006,2126166,Real Estate,Real Estate
MAA,Mid-America Apartment Communities Inc. Common Stock,$131.67,-1.19,-0.896%,15416152969.00,United States,1994,874502,Real Estate,Real Estate Investment Trusts
MAA^I,Mid-America Apartment Communities Inc. 8.50% Series I Cumulative Redeemable Preferred Stock,$52.8799,-0.0048,-0.009%,,United States,,3089,,
MAC,Macerich Company (The) Common Stock,$17.75,0.39,2.247%,4546095991.00,United States,1994,1278856,Real Estate,Real Estate Investment Trusts
MAGN,Magnera Corporation Common Stock,$14.13,0.19,1.363%,503028000.00,United States,2000,923394,Basic Materials,Paper
MAIN,Main Street Capital Corporation Common Stock,$60.73,0.75,1.25%,5440651486.00,United States,2007,551339,Finance,Finance/Investors Services
MAN,ManpowerGroup Common Stock,$27.89,-0.22,-0.783%,1291228350.00,United States,,664128,Consumer Discretionary,Professional Services
MANU,Manchester United Ltd. Class A Ordinary Shares,$15.67,-0.03,-0.191%,2701960221.00,United Kingdom,2012,242174,Consumer Discretionary,Services-Misc. Amusement & Recreation
MAS,Masco Corporation Common Stock,$63.20,-1.20,-1.863%,13126363247.00,United States,,4281652,Industrials,Industrial Specialties
MATV,Mativ Holdings Inc. Common Stock,$12.08,-0.06,-0.494%,660547857.00,United States,,205654,Basic Materials,Paper
MATX,Matson Inc. Common Stock,$116.39,2.59,2.276%,3629044274.00,United States,,229627,Consumer Discretionary,Marine Transportation
MAX,MediaAlpha Inc. Class A Common Stock,$13.07,-0.42,-3.113%,851795949.00,United States,2020,439699,Real Estate,Real Estate
MBC,MasterBrand Inc. Common Stock,$11.14,-0.08,-0.713%,1412322193.00,United States,2022,1613028,Consumer Discretionary,Home Furnishings
MBI,MBIA Inc. Common Stock,$7.36,-0.22,-2.902%,371633087.00,United States,1987,332811,Finance,Property-Casualty Insurers
MC,Moelis & Company Class A Common Stock,$68.68,2.23,3.356%,5379069591.00,United States,2014,1131156,Finance,Investment Managers
MCB,Metropolitan Bank Holding Corp. Common Stock,$77.49,-0.48,-0.616%,797992175.00,United States,2017,56808,Finance,Major Banks
MCD,McDonald's Corporation Common Stock,$311.23,2.69,0.872%,221643798351.00,United States,,3147111,Consumer Discretionary,Restaurants
MCI,Barings Corporate Investors Common Stock,$20.58,-0.21,-1.01%,416986177.00,United States,,27336,Finance,Trusts Except Educational Religious and Charitable
MCK,McKesson Corporation Common Stock,$808.62,-5.56,-0.683%,99805257723.00,United States,,597782,Health Care,Other Pharmaceuticals
MCN,XAI Madison Equity Premium Income Fund Common Shares,$5.97,0.01,0.168%,0.00,United States,2004,17765,,
MCO,Moody's Corporation Common Stock,$496.50,7.02,1.434%,88575600000.00,United States,,557057,Finance,Finance: Consumer Services
MCR,MFS Charter Income Trust Common Stock,$6.34,-0.02,-0.314%,279013129.00,United States,1989,51660,Finance,Trusts Except Educational Religious and Charitable
MCS,Marcus Corporation (The) Common Stock,$15.08,-0.48,-3.085%,463163425.00,United States,,353435,Consumer Discretionary,Movies/Entertainment
MCY,Mercury General Corporation Common Stock,$89.95,-0.16,-0.178%,4982206999.00,United States,,194224,Finance,Property-Casualty Insurers
MD,Pediatrix Medical Group Inc. Common Stock,$22.12,-0.17,-0.763%,1899607778.00,United States,,749372,Health Care,Hospital/Nursing Management
MDT,Medtronic plc. Ordinary Shares,$101.36,-0.63,-0.618%,129944960123.00,United States,,5158041,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MDU,MDU Resources Group Inc. Common Stock (Holding Company),$19.26,-0.20,-1.028%,3936413132.00,United States,,2547516,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MDV,Modiv Industrial Inc. Class C Common Stock,$14.56,-0.05,-0.342%,149603956.00,,2022,30550,Real Estate,Real Estate Investment Trusts
MDV^A,Modiv Industrial Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock,$25.0555,0.2855,1.153%,,,,1622,,
MEC,Mayville Engineering Company Inc. Common Stock,$16.50,-0.43,-2.54%,335253105.00,United States,2019,113758,Industrials,Industrial Specialties
MED,MEDIFAST INC Common Stock,$10.88,0.02,0.184%,119585050.00,United States,,219138,Consumer Staples,Packaged Foods
MEG,Montrose Environmental Group Inc. Common Stock,$26.30,0.23,0.882%,929380642.00,United States,2020,353003,Consumer Discretionary,Professional Services
MEGI,NYLI CBRE Global Infrastructure Megatrends Term Fund Common Shares,$13.84,-0.07,-0.503%,0.00,United States,2021,266458,Finance,Investment Managers
MEI,Methode Electronics Inc. Common Stock,$6.99,-0.75,-9.69%,247503661.00,United States,,591126,Technology,Electrical Products
MER^K,Bank of America Corporation Income Capital Obligation Notes initially due December 15 2066,$25.76,0.01,0.039%,,United States,,42097,,
MET,MetLife Inc. Common Stock,$78.66,0.63,0.807%,51828417661.00,United States,2000,3557746,Finance,Life Insurance
MET^A,MetLife Inc. Preferred Series A Floating Rate,$22.34,0.08,0.359%,,United States,,86943,,
MET^E,MetLife Inc. Depositary Shares ,$23.40,-0.14,-0.595%,,United States,,109703,,
MET^F,MetLife Inc. Depositary Shares each representing a 1/1000th interest in a share of 4.75% Non-Cumulative Preferred Stock Series F,$19.54,-0.04,-0.204%,,United States,,170772,,
MFA,MFA Financial Inc.,$9.61,0.09,0.945%,982100706.00,United States,,930451,Real Estate,Real Estate Investment Trusts
MFA^B,MFA Financial Inc. Preferred Series B,$19.95,0.00,0.00%,,United States,,37523,,
MFA^C,MFA Financial Inc. 6.50% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$23.25,0.01,0.043%,,United States,,14186,,
MFAN,MFA Financial Inc. 8.875% Senior Notes due 2029,$25.03,0.06,0.24%,2569797611.00,United States,2024,3791,Real Estate,Real Estate Investment Trusts
MFAO,MFA Financial Inc. 9.000% Senior Notes due 2029,$25.11,-0.03,-0.119%,2578011107.00,United States,2024,4277,Real Estate,Real Estate Investment Trusts
MFC,Manulife Financial Corporation Common Stock,$35.29,0.03,0.085%,59463182760.00,Canada,,1357182,Finance,Life Insurance
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),$7.35,0.07,0.962%,92347113653.00,Japan,,1650721,Finance,Major Banks
MFM,MFS Municipal Income Trust Common Stock,$5.43,-0.01,-0.184%,223648836.00,United States,1986,141807,Finance,Finance Companies
MG,Mistras Group Inc Common Stock,$11.53,-0.28,-2.371%,363750204.00,United States,2009,118346,Consumer Discretionary,Military/Government/Technical
MGA,Magna International Inc. Common Stock,$49.03,0.08,0.163%,13817353021.00,Canada,,1017120,Consumer Discretionary,Auto Parts:O.E.M.
MGF,MFS Government Markets Income Trust Common Stock,$3.07,-0.04,-1.286%,100073997.00,United States,1987,44049,Finance,Trusts Except Educational Religious and Charitable
MGM,MGM Resorts International Common Stock,$36.07,0.68,1.921%,9865377291.00,United States,,6642345,Consumer Discretionary,Hotels/Resorts
MGR,Affiliated Managers Group Inc. 5.875% Junior Subordinated Notes due 2059,$20.91,-0.16,-0.759%,594096237.00,United States,2019,43458,Finance,Investment Managers
MGRB,Affiliated Managers Group Inc. 4.750% Junior Subordinated Notes due 2060,$17.19,0.10,0.585%,488403363.00,United States,2020,56544,Finance,Investment Managers
MGRD,Affiliated Managers Group Inc. 4.200% Junior Subordinated Notes due 2061,$15.39,-0.12,-0.774%,437261650.00,United States,2021,24900,Finance,Investment Managers
MGRE,Affiliated Managers Group Inc. 6.750% Junior Subordinated Notes due 2064,$24.00,0.00,0.00%,681889512.00,United States,2024,63310,Finance,Investment Managers
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,$23.59,0.18,0.769%,4450867288.00,United States,2017,2017956,Energy,Oil & Gas Production
MH,McGraw Hill Inc. Common Stock,$16.82,-0.23,-1.349%,3212645550.00,,2025,306574,Consumer Discretionary,Publishing
MHD,Blackrock MuniHoldings Fund Inc. Common Stock,$11.71,0.00,0.00%,1742008535.00,United States,1997,241492,Finance,Investment Bankers/Brokers/Service
MHF,Western Asset Municipal High Income Fund Inc. Common Stock,$7.01,-0.01,-0.142%,0.00,United States,1988,70961,Finance,Finance/Investors Services
MHK,Mohawk Industries Inc. Common Stock,$110.69,-1.27,-1.134%,6843006560.00,United States,,1127441,Consumer Discretionary,Home Furnishings
MHLA,Maiden Holdings Ltd. 6.625% Notes due 2046,$13.57,-0.23,-1.667%,105058167.00,Bermuda,2016,8371,Finance,Property-Casualty Insurers
MHN,Blackrock MuniHoldings New York Quality Fund Inc. Common Stock,$10.40,0.03,0.289%,1547129698.00,United States,1997,55762,Finance,Investment Bankers/Brokers/Service
MHNC,Maiden Holdings North America Ltd. 7.75% Notes due 2043,$16.0402,0.0402,0.251%,124182314.00,Bermuda,2013,6253,Finance,Property-Casualty Insurers
MHO,M/I Homes Inc. Common Stock,$133.58,-0.94,-0.699%,3492917832.00,United States,1993,118779,Consumer Discretionary,Homebuilding
MIAX,Miami International Holdings Inc. Common Stock,$44.06,-1.40,-3.08%,3588027422.00,,2025,473180,Finance,Investment Bankers/Brokers/Service
MIN,MFS Intermediate Income Trust Common Stock,$2.62,-0.04,-1.504%,301032160.00,United States,1988,660166,Finance,Trusts Except Educational Religious and Charitable
MIR,Mirion Technologies Inc. Class A Common Stock,$25.02,-0.48,-1.882%,6350105774.00,United States,2020,2662342,Industrials,Industrial Machinery/Components
MITN,AG Mortgage Investment Trust Inc. 9.500% Senior Notes due 2029,$25.22,0.0101,0.04%,743813056.00,United States,2024,658,Real Estate,Real Estate Investment Trusts
MITP,AG Mortgage Investment Trust Inc. 9.500% Senior Notes due 2029,$25.25,0.0635,0.252%,744697846.00,United States,2024,4482,Real Estate,Real Estate Investment Trusts
MITT,AG Mortgage Investment Trust Inc. Common Stock,$8.32,0.06,0.726%,264113816.00,United States,2011,78696,Real Estate,Real Estate Investment Trusts
MITT^A,AG Mortgage Investment Trust Inc. 8.25% Preferred Series A,$22.28,-0.28,-1.241%,,United States,,6688,,
MITT^B,AG Mortgage Investment Trust Inc. Preferred Series B,$21.92,0.06,0.274%,,United States,,12659,,
MITT^C,AG Mortgage Investment Trust Inc. 8.00% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share,$25.00,0.05,0.20%,,United States,,5387,,
MIY,Blackrock MuniYield Michigan Quality Fund Inc. Common Stock,$11.77,-0.02,-0.17%,1750934284.00,United States,1992,68055,Finance,Investment Bankers/Brokers/Service
MKC,McCormick & Company Incorporated Common Stock,$63.30,-0.14,-0.221%,16988179215.00,United States,,2392136,Consumer Staples,Packaged Foods
MKL,Markel Group Inc. Common Stock,$2047.87,4.48,0.219%,25824152668.00,United States,1986,33827,Finance,Property-Casualty Insurers
MLI,Mueller Industries Inc. Common Stock,$113.49,0.47,0.416%,12598936982.00,United States,,511444,Industrials,Metal Fabrications
MLM,Martin Marietta Materials Inc. Common Stock,$624.37,5.59,0.903%,37653970875.00,United States,1994,354857,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MLP,Maui Land & Pineapple Company Inc. Common Stock,$16.46,0.05,0.305%,324948530.00,United States,1998,34822,Finance,Real Estate
MLR,Miller Industries Inc. Common Stock,$38.18,0.33,0.872%,436451463.00,United States,,50281,Consumer Discretionary,Construction/Ag Equipment/Trucks
MMC,Marsh & McLennan Companies Inc. Common Stock,$181.82,-1.38,-0.753%,89075378563.00,United States,,2837168,Finance,Specialty Insurers
MMD,NYLI MacKay DefinedTerm Muni Opportunities Fund Common Shares,$14.93,-0.03,-0.201%,0.00,United States,2012,109779,Finance,Investment Managers
MMI,Marcus & Millichap Inc. Common Stock,$28.93,-0.17,-0.584%,1126030934.00,United States,2013,246161,Finance,Real Estate
MMM,3M Company Common Stock,$167.48,-1.79,-1.057%,88969571039.00,United States,,3021424,Health Care,Medical/Dental Instruments
MMS,Maximus Inc. Common Stock,$84.67,0.10,0.118%,4611255798.00,United States,1997,830349,Real Estate,Real Estate
MMT,MFS Multimarket Income Trust Common Stock,$4.715,-0.005,-0.106%,280770258.00,United States,1987,36675,Finance,Trusts Except Educational Religious and Charitable
MMU,Western Asset Managed Municipals Fund Inc. Common Stock,$10.50,0.02,0.191%,0.00,United States,1992,150608,Finance,Investment Managers
MNR,Mach Natural Resources LP Common Units representing Limited Partner Interests,$12.49,0.07,0.564%,2103600909.00,United States,2023,287310,Energy,Oil & Gas Production
MNSO,MINISO Group Holding Limited American Depositary Shares each representing four Ordinary Shares,$19.28,0.07,0.364%,6024382230.00,China,2020,403341,Consumer Discretionary,Department/Specialty Retail Stores
